name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-05-01,181929,82,0.926,0.135,0.926,0.542,0.0,0.0877,-5.064,0.293,135.14,4,2020-10-02,2020-10-09
Savage Love (Laxed – Siren Beat) [BTS Remix],Savage Love (Laxed - Siren Beat) [BTS Remix],Jawsh 685,2020-10-02,184905,85,0.758,0.16,0.758,0.598,0.0,0.295,-5.695,0.0868,149.836,4,2020-10-02,2020-10-09
Party Girl,Fallin',StaySolidRocky,2020-07-15,147800,78,0.73,0.747,0.73,0.439,0.0,0.0988,-9.864,0.0609,130.09,4,2020-10-02,2020-10-09
Got It On Me,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,164579,84,0.688,0.00815,0.688,0.647,1.65e-05,0.095,-7.258,0.19,88.834,4,2020-10-02,2020-10-09
Conversations,Legends Never Die,Juice WRLD,2020-07-10,181661,82,0.747,0.176,0.747,0.622,0.0,0.151,-5.825,0.0838,159.93,4,2020-10-02,2020-10-09
Heart Of Glass (Live from the iHeart Festival),Heart Of Glass / Midnight Sky,Miley Cyrus,2020-09-29,213671,83,0.58,0.000335,0.58,0.908,4.84e-05,0.087,-5.303,0.0341,115.016,4,2020-10-02,2020-10-09
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,2020-08-07,235987,80,0.874,0.147,0.874,0.443,0.0,0.124,-9.628,0.241,118.004,4,2020-10-02,2020-10-09
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,243836,89,0.841,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,4,2020-10-02,2020-10-09
Adore You,Fine Line,Harry Styles,2019-12-13,207133,88,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,2020-10-02,2020-10-09
Whiskey Glasses,If I Know Me,Morgan Wallen,2018-04-27,234346,81,0.614,0.369,0.614,0.68,1.84e-06,0.115,-4.58,0.0289,149.959,4,2020-10-02,2020-10-09
Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,93,0.734,0.168,0.734,0.874,1.14e-05,0.0489,-3.158,0.0662,122.953,4,2020-10-02,2020-10-09
Blastoff (feat. Juice Wrld & Trippie Redd),B4 The Storm,Internet Money,2020-08-28,174729,75,0.761,0.114,0.761,0.517,0.0,0.157,-6.916,0.0927,147.912,4,2020-10-02,2020-10-09
bloody valentine,Tickets To My Downfall,Machine Gun Kelly,2020-09-25,205158,81,0.533,0.00021,0.533,0.858,0.0,0.148,-4.212,0.0766,160.057,4,2020-10-02,2020-10-09
Life Is Good (feat. Drake),High Off Life,Future,2020-05-15,237918,79,0.795,0.067,0.795,0.574,0.0,0.15,-6.903,0.487,142.053,4,2020-10-02,2020-10-09
Righteous,Legends Never Die,Juice WRLD,2020-07-10,242180,85,0.706,0.0417,0.706,0.625,0.0,0.129,-7.426,0.0314,142.948,4,2020-10-02,2020-10-09
How You Like That,THE ALBUM,BLACKPINK,2020-10-02,180946,85,0.812,0.0375,0.812,0.8,0.000112,0.0638,-4.282,0.077,130.036,4,2020-10-02,2020-10-09
Breaking Me,Breaking Me,Topic,2019-12-19,166793,91,0.789,0.223,0.789,0.72,0.0,0.129,-5.652,0.218,122.031,4,2020-10-02,2020-10-09
Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019-03-22,178000,86,0.682,0.156,0.682,0.683,2.32e-05,0.273,-6.444,0.0287,120.023,4,2020-10-02,2020-10-09
21,THE GOAT,Polo G,2020-05-15,163797,84,0.783,0.149,0.783,0.479,0.0,0.101,-10.646,0.541,176.027,4,2020-10-02,2020-10-09
SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,209273,86,0.515,0.544,0.515,0.479,0.00598,0.191,-7.458,0.0261,88.964,4,2020-10-02,2020-10-09
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,89,0.598,0.0546,0.598,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,2020-10-02,2020-10-09
