name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,189486,81,0.581,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,4,2019-04-05,2019-04-12
Talk (feat. Disclosure),Free Spirit,Khalid,2019-04-05,197573,76,0.901,0.051,0.901,0.4,0.0,0.0599,-8.575,0.126,135.984,4,2019-04-05,2019-04-12
Outta My Head (with John Mayer),Free Spirit,Khalid,2019-04-05,177066,70,0.729,0.0174,0.729,0.545,0.000274,0.369,-7.818,0.0316,103.012,4,2019-04-05,2019-04-12
Better,Suncity,Khalid,2018-10-18,229320,77,0.596,0.0765,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,4,2019-04-05,2019-04-12
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,2019-04-05,157066,11,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4,2019-04-12,2019-04-19
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,2019-04-12,2019-04-19
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,113013,8,0.908,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,4,2019-04-12,2019-04-19
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,84,0.645,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,119.991,4,2019-04-12,2019-04-19
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.76,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,4,2019-04-12,2019-04-19
MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019-01-23,213593,83,0.837,0.149,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,4,2019-04-12,2019-04-19
Sanguine Paradise,Sanguine Paradise,Lil Uzi Vert,2019-04-09,243976,78,0.729,0.0948,0.729,0.603,0.0,0.113,-6.736,0.0666,134.972,4,2019-04-12,2019-04-19
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,189486,81,0.581,0.0153,0.581,0.662,0.0,0.111,-5.239,0.303,93.023,4,2019-04-12,2019-04-19
Talk (feat. Disclosure),Free Spirit,Khalid,2019-04-05,197573,76,0.901,0.051,0.901,0.4,0.0,0.0599,-8.575,0.126,135.984,4,2019-04-12,2019-04-19
Wow.,Wow.,Post Malone,2018-12-24,149520,18,0.833,0.163,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,4,2019-04-12,2019-04-19
Old Town Road (feat. Billy Ray Cyrus) - Remix,Old Town Road,Lil Nas X,2019-04-05,157066,11,0.878,0.0533,0.878,0.619,0.0,0.113,-5.56,0.102,136.041,4,2019-04-19,2019-04-26
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,89,0.701,0.328,0.701,0.425,0.13,0.1,-10.965,0.375,135.128,4,2019-04-19,2019-04-26
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,113013,8,0.908,0.0361,0.908,0.517,1.73e-06,0.0949,-6.063,0.129,136.019,4,2019-04-19,2019-04-26
